,actual,holt_linear
2018-10-07,20396.0,10007.795230448783
2018-10-08,9111.0,11937.784937536084
2018-10-09,8076.0,11997.897786104164
2018-10-10,8996.0,12058.010634672242
2018-10-11,16811.0,12118.123483240322
2018-10-12,10203.0,12178.236331808403
2018-10-13,9661.0,12238.349180376483
2018-10-14,14896.0,12298.462028944563
2018-10-15,5982.0,12358.574877512641
2018-10-16,11061.0,12418.687726080721
2018-10-17,10426.0,12478.800574648802
2018-10-18,9719.0,12538.913423216882
2018-10-19,13701.0,12599.026271784962
2018-10-20,16251.0,12659.13912035304
2018-10-21,16642.0,12719.25196892112
2018-10-22,8328.0,12779.3648174892
2018-10-23,16918.0,12839.47766605728
2018-10-24,7829.0,12899.590514625359
2018-10-25,11073.0,12959.70336319344
2018-10-26,11788.0,13019.81621176152
2018-10-27,14059.0,13079.9290603296
2018-10-28,19956.0,13140.04190889768
2018-10-29,12544.0,13200.154757465758
2018-10-30,14794.0,13260.267606033838
2018-10-31,16992.0,13320.380454601918
2018-11-01,15134.0,13380.493303169998
2018-11-02,15924.0,13440.606151738077
2018-11-03,15388.0,13500.719000306157
2018-11-04,21302.0,13560.831848874237
2018-11-05,13441.0,13620.944697442317
2018-11-06,14300.0,13681.057546010397
2018-11-07,13664.0,13741.170394578476
2018-11-08,15542.0,13801.283243146556
2018-11-09,16732.0,13861.396091714636
2018-11-10,13636.0,13921.508940282716
2018-11-11,17761.0,13981.621788850796
2018-11-12,10184.0,14041.734637418875
2018-11-13,10330.0,14101.847485986955
2018-11-14,7598.0,14161.960334555035
2018-11-15,12360.0,14222.073183123115
2018-11-16,12286.0,14282.186031691195
2018-11-17,20395.0,14342.298880259274
2018-11-18,25512.0,14402.411728827354
2018-11-19,11993.0,14462.524577395434
2018-11-20,15527.0,14522.637425963514
2018-11-21,11079.0,14582.750274531594
2018-11-22,16705.0,14642.863123099673
2018-11-23,9602.0,14702.975971667753
2018-11-24,17004.0,14763.088820235833
2018-11-25,6921.0,14823.201668803913
2018-11-26,10563.0,14883.314517371993
2018-11-27,13420.0,14943.427365940071
2018-11-28,7602.0,15003.540214508152
2018-11-29,12380.0,15063.653063076232
2018-11-30,9559.0,15123.76591164431
2018-12-01,14510.0,15183.878760212392
2018-12-02,13257.0,15243.99160878047
2018-12-03,12915.0,15304.10445734855
2018-12-04,13763.0,15364.21730591663
2018-12-05,13865.0,15424.330154484709
2018-12-06,14774.0,15484.44300305279
2018-12-07,0.0,15544.55585162087
2018-12-08,0.0,15604.66870018895
2018-12-09,0.0,15664.78154875703
2018-12-10,0.0,15724.894397325108
2018-12-11,0.0,15785.007245893188
2018-12-12,0.0,15845.120094461268
2018-12-13,0.0,15905.232943029348
2018-12-14,0.0,15965.345791597429
2018-12-15,0.0,16025.458640165507
2018-12-16,0.0,16085.571488733587
2018-12-17,0.0,16145.684337301667
2018-12-18,0.0,16205.797185869747
2018-12-19,0.0,16265.910034437828
2018-12-20,0.0,16326.022883005906
2018-12-21,0.0,16386.135731573988
2018-12-22,0.0,16446.248580142066
2018-12-23,0.0,16506.361428710145
2018-12-24,0.0,16566.474277278227
2018-12-25,0.0,16626.587125846305
2018-12-26,0.0,16686.699974414383
2018-12-27,0.0,16746.812822982465
2018-12-28,0.0,16806.925671550543
2018-12-29,0.0,16867.038520118625
2018-12-30,0.0,16927.151368686704
2018-12-31,0.0,16987.264217254786
