,actual,holt_linear
2018-10-07,-0.8425714285714285,-0.44366120438068224
2018-10-08,-0.414,-0.4497009338141261
2018-10-09,-0.3417142857142857,-0.45095374055728105
2018-10-10,-0.38085714285714284,-0.45220654730043597
2018-10-11,-0.6697142857142857,-0.45345935404359095
2018-10-12,-0.45057142857142857,-0.45471216078674587
2018-10-13,-0.46114285714285713,-0.4559649675299008
2018-10-14,-0.5865714285714285,-0.4572177742730557
2018-10-15,-0.316,-0.45847058101621063
2018-10-16,-0.452,-0.45972338775936555
2018-10-17,-0.40514285714285714,-0.4609761945025205
2018-10-18,-0.4208571428571429,-0.46222900124567545
2018-10-19,-0.5302857142857142,-0.4634818079888304
2018-10-20,-0.5537142857142857,-0.4647346147319853
2018-10-21,-0.6117142857142858,-0.4659874214751402
2018-10-22,-0.37114285714285716,-0.46724022821829514
2018-10-23,-0.5397142857142857,-0.46849303496145006
2018-10-24,-0.35,-0.469745841704605
2018-10-25,-0.43685714285714283,-0.4709986484477599
2018-10-26,-0.48542857142857143,-0.4722514551909149
2018-10-27,-0.59,-0.4735042619340698
2018-10-28,-0.7428571428571429,-0.4747570686772247
2018-10-29,-0.49028571428571427,-0.47600987542037965
2018-10-30,-0.492,-0.47726268216353457
2018-10-31,-0.6562857142857143,-0.4785154889066895
2018-11-01,-0.4565714285714286,-0.4797682956498444
2018-11-02,-0.6502857142857142,-0.48102110239299933
2018-11-03,-0.6105714285714285,-0.4822739091361543
2018-11-04,-0.7168571428571429,-0.48352671587930923
2018-11-05,-0.4431428571428571,-0.48477952262246415
2018-11-06,-0.9145714285714286,-0.4860323293656191
2018-11-07,-0.6314285714285715,-0.487285136108774
2018-11-08,-0.6534285714285715,-0.4885379428519289
2018-11-09,-1.0394285714285714,-0.48979074959508384
2018-11-10,-0.4534285714285714,-0.4910435563382388
2018-11-11,-0.6897142857142857,-0.49229636308139374
2018-11-12,-0.4554285714285714,-0.49354916982454866
2018-11-13,-0.3862857142857143,-0.4948019765677036
2018-11-14,-0.3517142857142857,-0.4960547833108585
2018-11-15,-0.5614285714285714,-0.4973075900540134
2018-11-16,-0.5514285714285714,-0.49856039679716835
2018-11-17,-0.7708571428571429,-0.4998132035403233
2018-11-18,-0.852,-0.5010660102834782
2018-11-19,-0.5277142857142857,-0.5023188170266332
2018-11-20,-0.6045714285714285,-0.503571623769788
2018-11-21,-0.5394285714285715,-0.504824430512943
2018-11-22,-0.7554285714285714,-0.506077237256098
2018-11-23,-0.42142857142857143,-0.5073300439992529
2018-11-24,-0.6422857142857142,-0.5085828507424078
2018-11-25,-0.33,-0.5098356574855627
2018-11-26,-0.43257142857142855,-0.5110884642287177
2018-11-27,-0.536,-0.5123412709718727
2018-11-28,-0.3537142857142857,-0.5135940777150275
2018-11-29,-0.5265714285714286,-0.5148468844581825
2018-11-30,-0.4054285714285714,-0.5160996912013374
2018-12-01,-0.5608571428571428,-0.5173524979444923
2018-12-02,-0.602,-0.5186053046876472
2018-12-03,-0.5171428571428571,-0.5198581114308022
2018-12-04,-0.4382857142857143,-0.521110918173957
2018-12-05,-0.52,-0.522363724917112
2018-12-06,-0.5197142857142857,-0.523616531660267
2018-12-07,0.0,-0.5248693384034219
2018-12-08,0.0,-0.5261221451465768
2018-12-09,0.0,-0.5273749518897317
2018-12-10,0.0,-0.5286277586328867
2018-12-11,0.0,-0.5298805653760417
2018-12-12,0.0,-0.5311333721191965
2018-12-13,0.0,-0.5323861788623515
2018-12-14,0.0,-0.5336389856055064
2018-12-15,0.0,-0.5348917923486614
2018-12-16,0.0,-0.5361445990918162
2018-12-17,0.0,-0.5373974058349712
2018-12-18,0.0,-0.5386502125781261
2018-12-19,0.0,-0.539903019321281
2018-12-20,0.0,-0.541155826064436
2018-12-21,0.0,-0.5424086328075909
2018-12-22,0.0,-0.5436614395507459
2018-12-23,0.0,-0.5449142462939007
2018-12-24,0.0,-0.5461670530370557
2018-12-25,0.0,-0.5474198597802106
2018-12-26,0.0,-0.5486726665233655
2018-12-27,0.0,-0.5499254732665204
2018-12-28,0.0,-0.5511782800096754
2018-12-29,0.0,-0.5524310867528304
2018-12-30,0.0,-0.5536838934959852
2018-12-31,0.0,-0.5549367002391402
